City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Xiaoweizhai,CN,2021-05-27 02:55:12,26.1903,107.5125,68.61,85,100,1.92
234,Vardo,NO,2021-05-27 02:55:12,70.3705,31.1107,37.6,76,87,17.94
235,Sibolga,ID,2021-05-27 02:55:13,1.7427,98.7792,84.33,75,96,2.1
236,Viedma,AR,2021-05-27 02:55:13,-40.8135,-62.9967,52.83,57,100,4.88
237,Gigmoto,PH,2021-05-27 02:55:14,13.7796,124.39,88.16,65,41,6.29
238,Svetlyy,RU,2021-05-27 02:55:14,54.675,20.1347,50.05,97,68,10.22
239,Maniitsoq,GL,2021-05-27 02:55:15,65.4167,-52.9,46.71,46,42,28.95
240,Doha,QA,2021-05-27 02:53:06,25.2867,51.5333,91.38,33,0,8.05
241,George,ZA,2021-05-27 02:55:15,-33.963,22.4617,47.75,93,20,4.61
242,El Cobre,CU,2021-05-27 02:55:16,20.0489,-75.9469,73.78,92,27,3.96
243,Jaynagar-Majilpur,IN,2021-05-27 02:55:16,22.1758,88.4178,84.16,75,100,23.06
244,Hohhot,CN,2021-05-27 02:54:07,40.8106,111.6522,69.26,42,40,27.42
245,Yumen,CN,2021-05-27 02:55:17,40.2833,97.2,77.49,8,78,16.02
246,Xining,CN,2021-05-27 02:55:17,36.6167,101.7667,64.8,34,10,3.13
247,Pisco,PE,2021-05-27 02:55:18,-13.7,-76.2167,65.01,94,75,5.75
248,Kaitangata,NZ,2021-05-27 02:55:18,-46.2817,169.8464,43.93,66,100,2.86
249,Anadyr,RU,2021-05-27 02:55:19,64.75,177.4833,52.3,40,0,27.63
250,Todos Santos,MX,2021-05-27 02:55:19,23.45,-110.2167,87.3,57,99,8.88
251,Mananjary,MG,2021-05-27 02:55:20,-21.2167,48.3333,65.03,92,17,5.06
252,Deputatskiy,RU,2021-05-27 02:55:20,69.3,139.9,52.2,55,98,21.34
253,Yar-Sale,RU,2021-05-27 02:55:20,66.8333,70.8333,36.41,52,14,8.25
254,Padang,ID,2021-05-27 02:54:10,-0.9492,100.3543,84.25,67,97,2.13
255,Sisophon,KH,2021-05-27 02:55:21,13.5859,102.9737,88.23,65,76,6.08
256,Mozarlandia,BR,2021-05-27 02:55:21,-14.7447,-50.5706,76.6,48,34,2.66
257,Bauru,BR,2021-05-27 02:52:52,-22.3147,-49.0606,62.17,56,65,3.31
258,Nipawin,CA,2021-05-27 02:55:22,53.3668,-104.0009,50.04,34,1,5.75
259,Luderitz,NA,2021-05-27 02:55:23,-26.6481,15.1594,61.21,72,68,6.15
260,Mahebourg,MU,2021-05-27 02:55:07,-20.4081,57.7,71.89,94,75,2.3
261,Shelburne,CA,2021-05-27 02:55:23,44.0787,-80.2041,55.27,76,65,15.19
262,Katsuura,JP,2021-05-27 02:55:24,35.1333,140.3,63.19,95,100,8.81
263,Belmonte,BR,2021-05-27 02:55:24,-15.8631,-38.8828,72.1,79,0,3.04
264,Chicama,PE,2021-05-27 02:55:25,-7.8447,-79.1469,64.94,84,26,4.23
265,Ust-Kuyga,RU,2021-05-27 02:55:25,70.0167,135.6,60.55,46,78,19.15
266,Mattru,SL,2021-05-27 02:55:26,7.6244,-11.8332,74.52,97,92,1.54
267,Severodvinsk,RU,2021-05-27 02:55:26,64.5635,39.8302,37.51,58,100,10.65
268,Pundaguitan,PH,2021-05-27 02:55:26,6.3711,126.1689,83.34,73,99,4.27
269,Broome,US,2021-05-27 02:55:27,42.2506,-75.833,67.69,96,100,1.01
270,Ancud,CL,2021-05-27 02:55:27,-41.8697,-73.8203,57.42,95,100,23.13
271,Charcas,MX,2021-05-27 02:55:28,23.1333,-101.1167,67.6,61,26,15.99
272,Sinnamary,GF,2021-05-27 02:55:28,5.3833,-52.95,77.36,92,99,8.19
273,Zhoucheng,CN,2021-05-27 02:55:29,35.9122,116.3117,92.01,15,0,13.22
274,Oyama,JP,2021-05-27 02:55:29,36.3,139.8,63.82,90,100,6.76
275,Wukari,NG,2021-05-27 02:55:30,7.85,9.7833,76.26,86,100,7.54
276,Uthal,PK,2021-05-27 02:55:31,25.8072,66.6219,85.84,76,52,4.03
277,Pionerskiy,RU,2021-05-27 02:55:31,54.9508,20.2275,49.84,95,59,11.97
278,Oshkosh,US,2021-05-27 02:55:31,44.0247,-88.5426,55.98,75,0,4.0
279,Maceio,BR,2021-05-27 02:55:32,-9.6658,-35.7353,72.84,94,75,10.8
280,Machico,PT,2021-05-27 02:55:32,32.7,-16.7667,65.71,81,20,8.05
281,Havre-Saint-Pierre,CA,2021-05-27 02:55:33,50.2334,-63.5986,52.39,93,90,4.61
282,Urumqi,CN,2021-05-27 02:54:09,43.801,87.6005,85.15,14,0,1.7
283,Cienfuegos,CU,2021-05-27 02:55:33,22.1461,-80.4356,77.14,78,88,6.91
284,Edson,CA,2021-05-27 02:55:34,53.5835,-116.4356,62.74,55,1,0.0
285,Provideniya,RU,2021-05-27 02:55:34,64.3833,-173.3,44.71,49,0,24.61
286,Muli,MV,2021-05-27 02:55:34,2.9167,73.5667,84.24,74,44,19.66
287,Komsomolskiy,UZ,2021-05-27 02:55:35,40.4272,71.7189,78.22,33,11,3.4
288,Rusne,LT,2021-05-27 02:55:35,55.2964,21.3758,50.09,96,89,10.51
289,Carutapera,BR,2021-05-27 02:55:36,-1.195,-46.02,75.49,93,90,4.29
290,Altamira,BR,2021-05-27 02:55:23,-3.2033,-52.2064,74.16,86,36,1.77
291,Oranjemund,NA,2021-05-27 02:55:36,-28.55,16.4333,56.95,79,61,4.38
292,Torbay,CA,2021-05-27 02:55:37,47.6666,-52.7314,50.77,93,90,16.11
